Автор;Цитата;Ссылка
Mr. Freeman;На первом этапе быть свободным — это осознать, в каком рабстве ты живешь.;http://forismatic.com/ru/c971ada63a/
Хейвуд Аллен;Счастье — это талант ценить то, что у тебя есть, а не то, чего нет.;http://forismatic.com/ru/8cad8ba014/
Ибн Араби;Человек, кто бы он ни был, не способен пойти превыше знания себя в своем постижении других.;http://forismatic.com/ru/2c09966dea/
Шри Ауробиндо;Бог любит в нужный момент свалять дурака. Человек же делает это и вовремя, и невовремя. В этом вся разница. ;http://forismatic.com/ru/25d1c62acf/
Шри Ауробиндо;Какой смысл в том, чтобы только знать? Говорю тебе: «Действуй и будь, ибо для этого послал тебя Бог в это человеческое тело».;http://forismatic.com/ru/b2da20d997/
Шри Ауробиндо;"Нелегко, пребывая в миру, оставаться свободным и жить при этом жизнью обыкновенного человека; но именно потому, что это нелегко, мы должны постараться и сделать это.";http://forismatic.com/ru/f3f61727d7/
Петр Багратион;Счастье всегда на стороне отважного. ;http://forismatic.com/ru/b0f9bff89a/
Ричард Бах;Все люди и все события твоей жизни пришли в нее потому, что ты их притянул. Теперь тебе надо выбрать, как с ними поступить. ;http://forismatic.com/ru/6427812ba3/
Ричард Бах;Истинное знание не в том, проигрываем ли мы, а в том, как мы изменяемся, когда проигрываем, что мы уносим с собой нового, чего раньше в нас не было. Проигрыш некоторым странным образом оборачивается в выигрыш.;http://forismatic.com/ru/1e3323c4a4/
Жорж Брак;Истина существует, а ложь должна быть изобретена.;http://forismatic.com/ru/03ffa5f17c/
Лес Браун;Мнение других о вас не должно стать вашей реальностью.;http://forismatic.com/ru/e2eb10c2ef/
Будда;Каждое утро мы рождаемся вновь. И то, что мы сделаем сегодня и будет иметь наибольшую важность.;http://forismatic.com/ru/5b9714887c/
Герш Ицкович Будкер;Никогда не делай то, что делают другие. Это на 100% обрекает на неудачу. ;http://forismatic.com/ru/8fa0a6d896/
Поль Валери;Нет ничего более постоянного, чем непредвиденное.;http://forismatic.com/ru/6246e63586/
Александр Вампилов;Если собираетесь кого-нибудь полюбить, научитесь сначала прощать. ;http://forismatic.com/ru/4fce1ee6d7/
Вантала;Иной раз поиски правильного решения обходятся дороже ошибки. ;http://forismatic.com/ru/5d16cf332b/
Свами Вивекананда;"Каждый из нас должен сам следить за собою; учителя лишь «подносят нам пищу», есть же ее должны мы сами, если хотим насытиться.";http://forismatic.com/ru/b1e3ce0158/
Шакти Гавэйн;Мы можем смотреть на свою сегодняшнюю жизнь, чтобы понять, кто мы есть, и увидеть, чему еще следует научиться. ;http://forismatic.com/ru/eac501ef98/
Шакти Гавэйн;Идите на риск, когда вы чувствуете себя готовым, но не заставляйте себя делать то, к чему вы еще не готовы. ;http://forismatic.com/ru/32d22d983a/
Будда Гаутама;Если что-либо должно быть сделано, — делай, совершай с твердостью. Ибо расслабленный странник только больше поднимает пыли. ;http://forismatic.com/ru/cdb9c9cc5f/
Будда Гаутама;Кто смотрит на мир, как смотрят на пузырь, как смотрят на мираж, того не видит царь смерти. ;http://forismatic.com/ru/f1cfb91e32/
Будда Гаутама;«Сыновья — мои, богатство — мое», — так мучается глупец. Он ведь сам не принадлежит себе. Откуда же сыновья? Откуда богатство? ;http://forismatic.com/ru/fd81406190/
Георг Гегель;Кто не обладает мужеством рискнуть жизнью для достижения своей свободы, тот заслуживает быть рабом.;http://forismatic.com/ru/1f57d86d41/
Клод Адриан Гельвеций;Мудрец более тверд и счастлив в беде, чем великие мира сего в роскоши и довольстве. ;http://forismatic.com/ru/dcd9b9fef8/
Иоанн Дамаскин;Не вверяй своей тайны тому, кто угощает тебя, прежде чем не узнаешь его верности и дружбы.;http://forismatic.com/ru/25e6c0612b/
Лао Дань;Умеренность — основной принцип действия. Твердое ломается, острое тупится.;http://forismatic.com/ru/aaba609b5e/
Брэд Дженсен;Будьте собой. Окружающие, которые одобряют или порицают ваши действия, однажды уйдут — но последствия подчинения их воле или независимости останутся с вами. ;http://forismatic.com/ru/5a76888409/
Стив Джобс;Есть только один способ проделать большую работу — полюбить её.;http://forismatic.com/ru/139cdb5981/
Дени Дидро;"Истина любит критику, от нее она только выигрывает; ложь боится критики, ибо проигрывает от нее.";http://forismatic.com/ru/804ffd632b/
Тайлер Дёрден;Ты — это не твоя работы, не твои деньги в банке, твоя машина, твой бумажник и твоя одежда. ;http://forismatic.com/ru/2270787233/
Вадим Зеланд;Оставайтесь свободными даже от тех, кто вещает вам о вашей свободе. ;http://forismatic.com/ru/8ff43d0cda/
Альбер Камю;Быть созданным, чтобы творить, любить и побеждать — значит быть созданным, чтобы жить в мире.;http://forismatic.com/ru/6f38eb9a5b/
Карлейль;Молчание глубоко, как Вечность, речь мелка, как Время. ;http://forismatic.com/ru/7b3709f589/
Карлос Кастанеда;Безупречность начинается с какого-нибудь простого действия, которое должно быть целенаправленным, точным и осуществляемым с непреклонностью. Повторяя такое действие достаточно долго, человек обретает несгибаемое намерение.;http://forismatic.com/ru/06927b4e63/
Карлос Кастанеда;Воин берет свою судьбу, какой бы она ни была, и принимает ее в абсолютном смирении. Он в смирении принимает себя таким, каков он есть, но не как повод для сожаления, а как живой вызов.;http://forismatic.com/ru/cd8c639844/
Франц Кафка ;Случайность существует лишь в нашей голове, в нашем ограниченном восприятии. Она — отражение границ нашего познания. Борьба против случайности — всегда борьба против нас самих, борьба, в которой мы никогда не можем стать победителями.;http://forismatic.com/ru/647b66d5b0/
Роберт Кийосаки;Победа обычно следует за проигрышем. Я никогда не встречал людей, которые полюбили кого-то, но чьи сердца не разбивались бы никогда прежде. И я никогда не встречал кого-то богатого, кто никогда бы не терял деньги. ;http://forismatic.com/ru/123cdf3991/
Роберт Кийосаки;Наши эмоции — мощная сила. Если их не контролировать, они становятся самореализующимися пророчествами. ;http://forismatic.com/ru/27380faeec/
Роберт Кийосаки;Ваше будущее создается тем, что вы делаете сегодня, а не тем, что будете делать завтра. ;http://forismatic.com/ru/6ced2d00a6/
Роберт Кийосаки;Побеждать — означает не бояться проиграть. ;http://forismatic.com/ru/41edefc0cc/
Конфуций;"Середина есть точка, ближайшая к мудрости; не дойти до нее — то же самое, что ее перейти.";http://forismatic.com/ru/b522c2869c/
Лао-Цзы;Будьте внимательны к своим мыслям — они начало поступков. ;http://forismatic.com/ru/102263a0b4/
Брюс Ли;Знаний не достаточно, ты должен применять их. Желания не достаточно, ты должен делать. ;http://forismatic.com/ru/a99ff51572/
Авраам Линкольн;Большинство людей счастливы настолько, насколько они решили быть счастливыми. ;http://forismatic.com/ru/549a2f1591/
Клэр Люс;Дом мужчины — его крепость, но только снаружи. Внутри это чаще всего детская комната. ;http://forismatic.com/ru/3506f31198/
Бернард Мелцер;Счастье — как поцелуй: чтобы насладиться им, его нужно с кем-то разделить.;http://forismatic.com/ru/fa1bf71536/
О. Мередит;Хорошее настроение — это доброта и мудрость вместе. ;http://forismatic.com/ru/45f2026aec/
Чак Норрис;Мастер жизни не пытается изменить положение вещей, противопоставляя себя им. ;http://forismatic.com/ru/cb55a6945f/
Чак Норрис;Настоящие уроки боевых искусств — не в ударах, а в хладнокровной уверенности в себе на основе знания, кто ты есть, чего хочешь добиться и как именно ты это сделаешь.;http://forismatic.com/ru/c2c41c58a6/
Амос Бронсон Олкотт;Мы добираемся до вершин чаще всего по обломкам наших заветных замыслов, обнаруживая, что успех нам принесли именно наши неудачи.;http://forismatic.com/ru/141cec1d21/
Блез Паскаль;Существует достаточно света для тех, кто хочет видеть, и достаточно мрака для тех, кто не хочет.;http://forismatic.com/ru/7277be8a05/
