first_name;last_name;date_of_birth;date_of_death;country;gender;language
Arthur;Adamov;23 August 1908;15 March 1970;France;male;French
Andre;Breton;18 February 1896;28 September 1966;France;male;French
Michel;Butor;14 September 1926;24 August 2016;France;male;French
Albert;Camus;7 November 1913;4 January 1960;France;male;French
Marguerite;Duras;4 April 1914;3 March 1996;France;female;French
Paul;Eluard;14 December 1895;18 November 1952;France;male;French
Jean;Genet;19 December 1910;15 April 1986;France;male;French
Eugen;Ionescu;26 November 1909;28 March 1994;France;male;French, Romanian
Alain;Robbe-Grillet;18 August 1922;18 February 2008;France;male;French
Nathalie;Sarraute;18 July 1900;19 October 1999;France;female;French
